Month,Day,Hour,Solar Energy (kWh),Wind Energy (kWh),Grid Energy (kWh),Total Cost ($)
1.0,19.0,16.0,46.714,53.286,0.0,5106.572
1.0,19.0,17.0,0.0,100.0,0.0,5200.0
1.0,19.0,18.0,0.0,100.0,0.0,5200.0
1.0,19.0,19.0,0.0,100.0,0.0,5200.0
1.0,19.0,20.0,0.0,100.0,0.0,5200.0
1.0,19.0,21.0,0.0,100.0,0.0,5200.0
1.0,19.0,22.0,0.0,100.0,0.0,5200.0
1.0,19.0,23.0,0.0,100.0,0.0,5200.0
1.0,20.0,0.0,0.0,100.0,0.0,5200.0
1.0,20.0,1.0,0.0,100.0,0.0,5200.0
1.0,20.0,2.0,0.0,100.0,0.0,5200.0
1.0,20.0,3.0,0.0,100.0,0.0,5200.0
1.0,20.0,4.0,0.0,100.0,0.0,5200.0
1.0,20.0,5.0,0.0,100.0,0.0,5200.0
1.0,20.0,6.0,0.0,100.0,0.0,5200.0
1.0,20.0,7.0,0.0,100.0,0.0,5200.0
1.0,20.0,8.0,100.0,0.0,0.0,5000.0
1.0,20.0,9.0,100.0,0.0,0.0,5000.0
1.0,20.0,10.0,100.0,0.0,0.0,5000.0
1.0,20.0,11.0,100.0,0.0,0.0,5000.0
1.0,20.0,12.0,100.0,0.0,0.0,5000.0
